date,open,close
'2023/10/27 12:00,16165.33,16144.72
'2023/10/27 13:00,16144.3,16148.6
'2023/10/27 14:00,16146.66,16134.61
'2023/10/30 10:00,16142.06,16189.34
'2023/10/30 11:00,16187.31,16132.06
'2023/10/30 12:00,16123.28,16156.8
'2023/10/30 13:00,16158,16129.78
'2023/10/30 14:00,16129.73,16149.68
'2023/10/31 10:00,16176.58,16184.66
'2023/10/31 11:00,16184.85,16115.88
'2023/10/31 12:00,16116.82,16035.39
'2023/10/31 13:00,16036.4,16007.2
'2023/10/31 14:00,16006.97,16001.27
'2023/11/01 10:00,16027.72,16037.83
'2023/11/01 11:00,16030.45,16010.14
'2023/11/01 12:00,16010.96,16023.56
'2023/11/01 13:00,16024.15,16066.32
'2023/11/01 14:00,16066.33,16038.56
'2023/11/02 10:00,16094.26,16330.34
'2023/11/02 11:00,16329.39,16340.78
'2023/11/02 12:00,16331.58,16377.03
'2023/11/02 13:00,16376.27,16370.49
'2023/11/02 14:00,16371.09,16396.95
'2023/11/03 10:00,16412.54,16482.71
'2023/11/03 11:00,16482.09,16505.11
'2023/11/03 12:00,16504.42,16469.75
'2023/11/03 13:00,16470.66,16480.22
'2023/11/03 14:00,16479.33,16507.65
'2023/11/06 10:00,16572.56,16672.79
'2023/11/06 11:00,16664.02,16701.1
'2023/11/06 12:00,16701.48,16693
'2023/11/06 13:00,16696.71,16693.84
'2023/11/06 14:00,16684.24,16649.36
'2023/11/07 10:00,16650.14,16667.68
'2023/11/07 11:00,16667.32,16673.53
'2023/11/07 12:00,16672.74,16657.1
'2023/11/07 13:00,16657.42,16662.59
'2023/11/07 14:00,16662.49,16684.95
'2023/11/08 10:00,16691.32,16730.73
'2023/11/08 11:00,16731.21,16756.57
'2023/11/08 12:00,16762.21,16737.49
'2023/11/08 13:00,16737.18,16734.36
'2023/11/08 14:00,16735.19,16740.83
'2023/11/09 10:00,16741.16,16731.22
'2023/11/09 11:00,16731.6,16708.17
'2023/11/09 12:00,16707.04,16725.37
'2023/11/09 13:00,16725.46,16744.76
'2023/11/09 14:00,16743.6,16745.65
'2023/11/10 10:00,16725.94,16678.12
'2023/11/10 11:00,16678.08,16673.24
'2023/11/10 12:00,16672.69,16667.5
'2023/11/10 13:00,16667.29,16679.48
'2023/11/10 14:00,16680.96,16682.67
'2023/11/13 10:00,16711.53,16877.7
'2023/11/13 11:00,16868.48,16855.11
'2023/11/13 12:00,16856.03,16824.68
'2023/11/13 13:00,16832.76,16839.61
'2023/11/13 14:00,16830.81,16839.29
'2023/11/14 10:00,16884.52,16921.55
'2023/11/14 11:00,16921.07,16935.36
'2023/11/14 12:00,16943.47,16935.65
'2023/11/14 13:00,16936.27,16916.88
'2023/11/14 14:00,16919.71,16915.71
'2023/11/15 10:00,17039.62,17109.41
'2023/11/15 11:00,17101.06,17114.19
'2023/11/15 12:00,17115.17,17092.93
'2023/11/15 13:00,17104.55,17069.88
'2023/11/15 14:00,17070,17128.78
'2023/11/16 10:00,17136.52,17120.89
'2023/11/16 11:00,17121.42,17108.69
'2023/11/16 12:00,17109.53,17108.96
'2023/11/16 13:00,17107.44,17132.76
'2023/11/16 14:00,17130.19,17171.18
2023/11/17 10:00,17155.86,17236.69
2023/11/17 11:00,17236.93,17215.96
2023/11/17 12:00,17223.36,17238.02
'2023/11/17 13:00,17236.98,17228.14
2023/11/17 14:00,17225.37,17208.95
