date,費半_開盤價,費半_最高價,費半_最低價,費半_收盤價,費半_SMA5,費半_SMA10
'2015/11/04 00:00,672.486,674.308,668.52,673.478,666.6304,669.0147273
'2015/11/05 00:00,670.831,671.04,658.232,659.364,667.1158,669.5711818
'2015/11/06 00:00,665.169,676.835,664.834,676.469,669.9062,669.6187273
'2015/11/09 00:00,673.197,673.21,666.575,669.942,670.188,668.3669091
'2015/11/10 00:00,661.56,661.644,655.701,657.963,667.4432,667.2556364
'2015/11/11 00:00,659.716,665.013,657.683,658.277,664.403,666.5796364
'2015/11/12 00:00,654.277,658.626,649.699,649.771,662.4844,664.0852727
'2015/11/13 00:00,649.157,651.589,641.394,643.71,655.9326,662.8828182
'2015/11/16 00:00,643.39,652.113,643.28,652.03,652.3502,661.9294545
'2015/11/17 00:00,652.676,660.593,651.601,655.821,651.9218,660.7738182
'2015/11/18 00:00,655.124,662.567,651.651,662.143,652.695,659.9061818
'2015/11/19 00:00,662.935,669.371,659.663,663.628,655.4664,659.0107273
'2015/11/20 00:00,666.493,669.283,663.719,665.756,659.8756,659.5918182
'2015/11/23 00:00,664.393,664.671,656.607,657.184,660.9064,657.8386364
'2015/11/24 00:00,655.974,666.803,655.803,665.613,662.8648,657.4450909
'2015/11/25 00:00,665.11,669.567,663.208,666.087,663.6536,658.1836364
'2015/11/27 00:00,666.74,671.273,666.394,670.509,665.0298,659.2956364
'2015/11/30 00:00,670.827,677.875,669.515,677.136,667.3058,661.7833636
'2015/12/01 00:00,679.472,686.618,679.472,686.524,673.1738,665.6755455
'2015/12/02 00:00,688.131,690.557,681.863,682.687,676.5886,668.4625455
'2015/12/03 00:00,692.158,693.129,675.716,678.723,679.1158,670.5445455
'2015/12/04 00:00,678.824,692.598,676.987,691.486,683.3112,673.2120909
'2015/12/07 00:00,689.08,689.8,683.772,684.855,684.855,675.1418182
'2015/12/08 00:00,674.937,681.27,672.941,679.034,683.357,676.3489091
'2015/12/09 00:00,678.603,680.184,667.236,670.286,680.8768,677.54
'2015/12/10 00:00,670.272,679.121,669.573,674.226,679.9774,678.323
'2015/12/11 00:00,666.358,669.439,660.119,660.778,673.8358,677.8403636
'2015/12/14 00:00,662.497,663.109,650.101,656.491,668.163,676.566
'2015/12/15 00:00,660.355,669.368,659.407,666.466,665.6494,675.596
'2015/12/16 00:00,670.747,672.866,660.912,671.705,665.9332,674.2488182
'2015/12/17 00:00,676.382,677.7,661.491,661.706,663.4292,672.3414545
'2015/12/18 00:00,658.823,660.443,653.153,653.719,662.0174,670.0683636
'2015/12/21 00:00,659.76,666.306,657.523,666.128,663.9448,667.7630909
'2015/12/22 00:00,668.585,669.516,661.74,667.105,664.0726,666.1494545
'2015/12/23 00:00,668.056,672.442,666.522,671.781,664.0878,665.4900909
'2015/12/24 00:00,671.213,676.703,671.213,674.394,666.6254,665.8635455
'2015/12/28 00:00,671.852,671.852,664.8,671.752,670.232,665.6386364
'2015/12/29 00:00,674.849,682.362,673.748,679.779,672.9622,667.366
'2015/12/30 00:00,679.271,680.617,672.752,673.082,674.1576,668.8742727
'2015/12/31 00:00,671.045,671.048,663.442,663.481,672.4976,668.6029091
'2016/01/04 00:00,650.441,656.408,646.877,656.275,668.8738,667.2001818
'2016/01/05 00:00,657.36,658.752,648.799,649.47,664.4174,666.0878182
'2016/01/06 00:00,638.285,639.361,626.282,631.196,654.7008,664.0402727
'2016/01/07 00:00,616.83,624.576,608.877,610.25,642.1344,658.9604545
